episode,wind_speed,twa,ref_speed,avg_boat_speed,tail_avg_boat_speed,tail_avg_speed_error,tail_trim_efficiency,avg_trim_efficiency,avg_reward
1,6.456432300000001,102.50557,4.273796199530801,2.70378179344546,2.9796928984671176,1.294103301063683,0.6972005119931184,0.6326417234734534,0.2552834469469066
2,2.661531,83.61755000000002,2.9201579804987494,1.2346005845591244,1.4082985604487959,1.5118594200499536,0.4822679354519939,0.42278554544102454,-0.16442890911795074
3,4.787119000000001,172.13306000000003,2.5664169024408,2.241916261931282,2.4401405182020794,0.12627638423872067,0.950796620721043,0.8735588749431556,0.7371177498863074
4,10.427829,79.96056,4.53204550956208,3.4537599777575263,3.730586218346115,0.8014592912159646,0.8231572720254066,0.76207530804148,0.5141506160829592
5,2.688009,173.98035,1.4374516064920004,1.339029175807229,1.5024217969456877,0.06497019045368724,1.0451981758274578,0.9315299170836342,0.8254672276817326
6,3.969693,22.329899999999995,1.2426446960479998,0.515443250405704,0.532977022171352,0.7096676738766478,0.4289054014123154,0.41479535706785364,-0.18040928586429208
7,4.2023454,63.58484000000002,3.626687932868801,1.3228101751128483,1.6641798806188453,1.9625080522499556,0.458870438103131,0.36474331389921055,-0.28051337220157746
8,4.1226935,9.716500000000009,0.6519697189675007,0.6032559316689139,0.5582383490634709,0.09373136990402975,0.8562335532201273,0.9252821321583269,0.8398791859219531
9,3.7335544000000005,173.02814,2.0125043774375198,1.787857759437883,1.972620406804093,0.03988397063342686,0.980181921052907,0.8883745941036515,0.7667491882073054
10,3.2565641,173.63834000000003,1.7505850396916296,1.5693720485124123,1.7815713875163723,0.030986347824742744,1.0177005670231256,0.8964843254851903,0.7752793687179571
11,3.9844382,13.739716999999986,0.9152017459928271,0.3714868534610586,0.3696975022761245,0.5455042437167026,0.40395191977597256,0.4059070637568153,-0.19818587248637135
12,4.96017,40.02928000000001,3.1266185462880003,1.015166688812825,1.1683531450659885,1.9582654012220118,0.37367946481769787,0.32468517466515223,-0.36062965066969443
13,4.6354527,57.850570000000005,3.631335020164007,1.41606996595891,1.636195580449068,1.995139439714939,0.45057687361910503,0.3899585023402648,-0.23008299531947132
14,7.577036,75.64367,4.3058256453366,2.616066614958874,3.0287463909490917,1.277079254387508,0.7034066496002592,0.6075644557954156,0.205128911590832
15,5.408961000000001,110.772,4.07482194232,2.40905741903801,2.6965002526738506,1.3783216896461492,0.6617467685320744,0.5912055675410464,0.1724111350820946
