episode,wind_speed,twa,ref_speed,avg_boat_speed,tail_avg_boat_speed,tail_avg_speed_error,tail_trim_efficiency,avg_trim_efficiency,avg_reward
1,8.442109,76.2088,4.376257847216,3.076663718438302,3.53129431080886,0.8449635364071404,0.8069209891403742,0.7030352931319048,0.39607058626381103
2,2.64359,133.48238999999998,2.333963667942001,1.293103963733027,1.5621691649335485,0.7717945030084525,0.6693202582330722,0.5540377433866543,0.09807548677331092
3,2.2685324999999996,164.55858,1.3094130655807499,1.213835922209759,1.3166134967352248,0.0072004311544748845,1.0054989761013888,0.9270076449645024,0.8432479204979528
4,3.2872918,131.38428,2.8727989429840006,1.670672897184788,1.9036733046455288,0.9691256383384719,0.662654554818294,0.581548841510449,0.15309768302089885
5,4.567750499999999,48.75905,3.3842719910399994,0.8709131222482873,1.1700761347901105,2.214195856249889,0.3457393902995787,0.2573413497951895,-0.49531730040962113
6,6.824101400000001,97.39748,4.31605681,2.8140959647602837,3.105372339993197,1.210684470006803,0.7194929253012304,0.6520062382497427,0.2940124764994849
7,9.105700500000001,97.15512,4.661500671818101,3.6812656483081767,4.3785096403108215,0.28299103150727944,0.9392918608339692,0.7897168546094809,0.569433709218963
8,4.593502,93.7853,3.8668550487319995,2.269043692510831,3.303579870223898,0.5632751785081016,0.8543324817172011,0.5867930563507638,0.1635861127015275
9,7.9740105,135.06265,4.448999402501999,1.8850346392122708,1.9609626988909483,2.4880367036110513,0.4407648825010304,0.423698559759791,-0.16260288048041663
10,1.673867,121.78015000000002,1.7277630065994998,0.7106283046494568,0.6392470258286544,1.0885159807708453,0.3699853645360713,0.41129964117479334,-0.18740071765041266
11,2.8423210000000005,36.24892799999999,1.9142001918251998,0.40899904348577215,0.48026222177040073,1.4339379700547992,0.25089445911739683,0.21366576245914454,-0.5826684750817119
12,5.1771812,27.219100000000065,1.9426873555265813,0.8071494082114262,0.7126461708717846,1.2300411846547967,0.3668352341123958,0.4154808574396902,-0.17903828512062123
13,3.967313,10.762876999999994,0.7066355868822598,0.6045556700578933,0.5535857155221448,0.15304987136011505,0.783410467571574,0.8555409340835021,0.7010818681670067
14,3.3830980000000004,83.11746000000005,3.3995982197658,2.0360994251691875,2.3619997660833514,1.0375984536824485,0.6947879170986478,0.5989235472977327,0.18784709459546528
15,5.142058,176.86628999999996,2.6708369492172004,2.725175504647117,2.8572983599320803,0.18646141071487987,1.0698138502125822,1.0203451414156322,0.9192853761789389
16,7.436039,19.633699999999973,1.539947883023999,0.6168868394252249,0.5635103396575385,0.9764375433664605,0.36592818878452693,0.4005894265810106,-0.2088211468379788
17,2.6449704,87.97006,2.8936021670016796,1.6613968283749214,2.0610089291335396,0.83259323786814,0.7122640951258118,0.5741621454812653,0.13832429096252974
18,5.8640094,11.024968000000001,0.8993860081345121,0.8459805380214398,0.7415517128524044,0.15783429528210768,0.8245088384135703,0.9406200789982883,0.8467857530694193
19,8.685357,77.749306,4.41219536927592,4.322727315884496,4.6607632424529575,0.24856787317703777,1.0563365518462593,0.979722553988786,0.8597324927941075
20,3.1625667,72.45938000000007,3.2509416798711417,1.7041941802877045,1.8795403260251105,1.3714013538460312,0.5781525819619164,0.5242155498634642,0.03843109972692731
21,3.6620454999999996,156.89981,2.3088684901052,1.602289285774148,1.734290838561707,0.5745776515434928,0.7511431881001966,0.6939716543583412,0.3779433087166823
22,5.280715,14.933111999999976,1.191251927534478,0.7415157756836233,0.6657077312161533,0.5255441963183246,0.5588303496758757,0.6224676397530201,0.23493527950604004
23,2.4355990000000003,82.53349,2.7342502960386503,1.5947681618884335,1.9847748561335663,0.749475439905084,0.7258936239338019,0.5832560991943248,0.1565121983886491
24,5.370432399999999,49.40137000000006,3.6100598536160016,0.8362398741095449,0.9133606458618094,2.6966992077541923,0.25300429436009086,0.23164155388502158,-0.5467168922299569
25,3.5295558,85.84841999999996,3.4524625605199795,2.316275710174654,2.5534186188365178,0.8990439416834617,0.739593427611839,0.6709053811798028,0.3318107623596044
26,5.9445567,112.60976,4.1992666212656005,0.630737260441749,0.6142295924998376,3.585037028765763,0.14627068197796816,0.15020176552915687,-0.7095964689416867
27,3.2545505000000006,107.73122000000001,3.2421175775832,1.6319529116949556,2.6514747111113994,0.5906428664718004,0.8178218857466334,0.5033601874832295,-0.0032796250335412865
28,2.5601072000000005,18.11290000000001,0.7391365224768004,0.4931785842564606,0.45964559656243537,0.27949092591436503,0.6218683322834483,0.6672361184424366,0.3244722368848732
29,8.66798,79.25623,4.4345833595836,4.386606441719726,4.609244370171824,0.17466101058822403,1.0393861150925854,0.9891811893083051,0.8853530566375446
30,4.1596217,37.050610000000006,2.6552043963550007,0.6540367202920012,0.8251459831140625,1.830058413240938,0.3107655230786762,0.2463225509832112,-0.517354898033579
31,5.906226,163.02466,3.2736538087618006,2.84562490552578,2.946444835172519,0.32720897358928136,0.9000477775892124,0.8692504069641032,0.7285008139282055
32,5.6148148,7.325543999999991,0.5899846749939514,0.628400046658801,0.572985849468213,0.016998825525738392,0.971187682924285,1.065112490701972,0.983250831000964
33,4.5012584,21.356482000000003,1.3021359199694882,0.7238368354552005,0.6622910547166312,0.639844865252857,0.5086189886629885,0.5558842393904327,0.10176847878086591
34,4.1691537,94.5462,3.7434649631280004,2.4015805563645953,3.1431152567571727,0.6003497063708276,0.839627267175173,0.6415394774679162,0.2730789549358337
35,5.539348599999999,117.86679000000002,4.0709201208524,1.797881473168857,2.6593429692369206,1.4115771516154796,0.6532535373551096,0.4416400763944264,-0.1267198472111491
36,3.796132,159.81506,2.2843390891352007,1.5251852046211234,1.6415811354759173,0.6427579536592833,0.7186241058884927,0.667670229816242,0.3253404596324827
37,7.406293999999999,10.978997000000007,0.9754137438802405,0.5243809091185176,0.4878879233603078,0.4875258205199327,0.5001856149980698,0.5375984421057124,0.06519688421142515
38,4.474980999999999,83.06709,3.811825499999999,2.8612146727950623,3.171278115415297,0.6405473845847021,0.8319578415683766,0.7506153345149361,0.49123066902986906
39,3.6587841999999995,136.97319,2.9705099421820003,0.855167643335711,1.0161979513843138,1.9543119907976865,0.34209545538092406,0.28788580411467796,-0.4342283917706446
40,3.2347167,136.44765,2.7083841121699996,0.7637050610807362,0.8723893298175516,1.835994782352448,0.32210694409907004,0.28197812032977976,-0.44604375934044
41,7.9740105,135.06265,4.448999402501999,1.770071659147288,1.9718217556826874,2.477177646819312,0.443205668801346,0.3978583719637825,-0.2142832560724345
42,4.271263,29.285757,2.00138506851835,0.6153017584881669,0.6167305481847501,1.3846545203336,0.3081518683665025,0.3074379679187289,-0.3951240641625431
43,10.311797,97.41271,4.84900229964734,0.6982762528896295,0.6289585517559952,4.220043747891345,0.12970885821228387,0.14400410842049174,-0.721991783159016
44,12.402457,159.77753,4.94710850416796,4.832734879036998,4.929693500646034,0.0174150035219256,0.9964797611559857,0.9768807122312742,0.9397150129312839
45,2.307841,50.70673,2.1660555893029283,0.7331187566660543,0.6562350943982947,1.5098204949046337,0.30296318231125446,0.3384579603065419,-0.33308407938691603
46,8.552382,100.1547,4.583878186335,0.5434702470283008,0.5024850010320729,4.081393185302927,0.10962005982838528,0.11856123241853171,-0.7728775351629372
47,5.410719,26.782122000000008,1.9131484243649586,0.7075179213769323,0.695230150967284,1.2179182733976746,0.363395825495377,0.3698186258663042,-0.2703627482673909
48,7.530055,105.84881000000001,4.4520387021164005,0.5209921738535808,0.505216509142891,3.9468221929735097,0.11347981069947173,0.11702328050425832,-0.7759534389914855
49,3.4438663000000003,139.01166999999998,2.7783791169260015,0.5033431056884129,0.5237801761918663,2.254598940734135,0.18852005221352827,0.18116429922109134,-0.6476714015578178
50,8.596059,79.776535,4.439017343146199,4.29721793793438,4.713446630949127,0.27442928780292775,1.061822080561736,0.9680561272348375,0.8437693303136132
51,11.073235,54.22843600000001,4.0342261764792,3.418128462915006,3.5233555209189302,0.5108706555602693,0.8733658864892591,0.8472823072845468,0.6845646145690909
52,10.217152,108.639244,4.8333199060648,0.8079364033813559,0.8071923387555416,4.026127567309259,0.1670057754179865,0.16715972025099468,-0.6756805594980108
53,2.8952928,74.48538000000005,3.0783135138091207,1.6152351482598093,1.8103737944459053,1.2679397193632154,0.588105722930651,0.5247143089922346,0.03942861798446869
54,3.7228360000000005,9.556369999999989,0.6021188649935993,0.6894407477784114,0.6219697546131854,0.019850889619586032,1.0329683900865605,1.1450243263607742,0.990000000000008
55,6.2188835,122.13929,4.206028284032776,0.6683517753342578,0.8079929454653191,3.398035338567457,0.19210354541187452,0.15890330026345817,-0.6921933994730827
56,3.3434873,44.65110000000002,2.694627807346301,0.6173309343441192,0.5638738538984048,2.130753953447896,0.20925853001335795,0.22909692116332486,-0.551806157673349
57,1.3801054,98.91473,1.56010750993729,1.2324348880279572,1.3808553642965529,0.17925214564073721,0.8851026967699538,0.789967922196268,0.5699358443925372
58,4.865416,170.6206,2.6289076816080006,2.5657291124364763,2.741614584380235,0.1127069027722345,1.042872141749495,0.9759677490337444,0.8811294461084689
59,3.1622894,73.19278000000008,3.257801077640281,1.7383226476478149,1.8974955819594643,1.3603054956808167,0.5824467291704241,0.533587719513843,0.05717543902768547
60,4.7873425,16.65190000000004,1.1806451776160014,0.5734650768446998,0.5276383514883354,0.653006826127666,0.4469067942612196,0.48572177968207225,-0.038556440635857565
61,4.0598316,160.54324,2.42487164540808,1.9373355528887342,2.0610037503467753,0.36386789506130457,0.8499434410269293,0.7989435467883098,0.5878870935766195
